北京 气候统计（cityId 237）
统计时段：1961–1990。气温单位 °C，降水单位 毫米。
数据来源：世界天气信息服务网（WMO）· 中国气象局

月份,日均最低气温 (°C),日均最高气温 (°C),日均气温 (°C),平均总降水 (毫米),平均降水日数 (天)
1月,-9.4,1.6,-3.9,3.0,2.0
2月,-6.9,4.0,-1.4,6.0,3.0
3月,-0.6,11.3,5.3,9.0,4.0
4月,7.2,19.9,13.6,26.0,5.0
5月,13.2,26.4,19.8,29.0,6.0
6月,18.2,30.3,24.2,71.0,9.0
7月,21.6,30.8,26.2,176.0,14.0
8月,20.4,29.5,24.9,182.0,12.0
9月,14.2,25.8,20.0,49.0,7.0
10月,7.3,19.0,13.2,19.0,5.0
11月,-0.4,10.1,4.8,6.0,3.0
12月,-6.9,3.3,-1.8,2.0,2.0
年,6.5,17.7,12.1,578.0,72.0
